년도,기업,정책,유형코드
2024,공기업,"경향신문 금융감독원 신용회복위원회 공동 주최

경향신문과 금융감독원 신용회복위원회가 공동 주최하고 금융위원회가 후원하는 제19회 경향금융교육대상 수상자가 선정됐습니다.",2
2024,공기업,아시아투데이 윤복진 기자  전북자치도는 지난 2일 전북자치도청에서 금융감독원이하 금감원 전북특별자치도교육청이하 교육청 전북특별자치도 시장군수협의회이하 협의회와 전북도민의 금융역량 강화를 위해 상호협력 업무협약을 체결했다.,2
2024,공기업,아시아투데이 임우섭 기자  우리금융그룹 자회사들은 금융사각지대에 놓인 서민 저신용자를 위해 우수대부업체에 총 1500억원을 추가 지원한다.,1
2024,공기업,"8일 고객자문위원회 개최 

경기신용보증재단경기신보는 8일 경기도 소상공인 중소기업 지원 및 현장 자문을 위한 2024년 제1회 고객자문위원회고객자문위원회를 개최했다.",1
2024,공기업,경기신용보증재단은 8일 경기도 소상공인 중소기업 지원 및 현장 자문을 위한 2024년 제1회 고객자문위원회를 경기신보 2층 회의실에서 개최했다.,1
2024,공기업,아시아투데이 김주홍 기자  경기신용보증재단이하 경기신보이 8일 경기신보 2층 회의실에서 경기도 소상공인 중소기업 지원 및 현장 자문을 위한 2024년 제1회 고객자문위원회이하 고객자문위원회를 개최했다.,1
2024,공기업,"은행권이 금융 취약계층 지원을 위해 서민금융진흥원에 2214억원의 출연을 약속했다
은행연합회와 9개 은행하나 신한 우리 기업 국민 SC제일 한국씨티 카카오 광주은 22일 서울 중구 은행회관에서 서민금융진흥원과 협약식을 갖고 은행권 출연 협약을 체결했다.",1
2024,공기업,서민금융진흥원이 미소금융을 이용 중인 영세 신용카드 가맹점주를 대상으로 이자를 지원해주는 사업을 추가로 실시한다.,1
2024,공기업,아시아투데이 김주홍 기자  경기신용보증재단이하 경기신보가 도내 정책지원 유관기관과 손잡고 중소기업과 소상공인의 경영안정과 위기극복을 지원한다.,1
2024,공기업,정부가 부동산 프로젝트파이낸싱PF 사업에 9조원을 추가 지원하기로 했다.,1
2024,공기업,은행과 증권사들이 홍콩H지수 기초 주가연계증권ELS 상품을 팔면서 본점 차원의 판매정책과 소비자보호 관리실태가 전반적으로 부실하고 판매시스템 차원의 불완전판매도 있었던 것으로 드러났다.,0
2023,공기업,우리은행이 경기 위축과 고금리 장기화로 어려움을 겪는 소상공인과 자영업자 금융취약계층을 지원하기 위해 2758억 원 규모의 민생금융지원 방안을 마련했다.,2
2023,공기업,아시아투데이 윤서영 기자  우리은행은 지난 21일 은행연합회가 발표한 은행권 민생금융 지원방안에 동참 총 2758억원 규모의 지원을 신속히 이행하겠다.,2
2023,공기업,우리은행은 글로벌 금융전문지 더 뱅커지가 지난달 30일 영국 런던 쉐라톤 호텔에서 연 2023년 올해의 은행상 시상식에서 대한민국 최우수 은행상을 수상했다.,5
2023,공기업,한국자산관리공사캠코는 24일 금융취약계층 약 6만8000명을 대상으로 보유한 1조7000억원 규모의 채권원금 기준을 소각했다.,3
2023,공기업,아시아투데이 윤서영 기자  황병우 DGB대구은행장은 대구한실초등학교를 방문해 재학생들을 대상으로 화폐이야기라는 주제로 금융교육을 실시했다.,2
2023,공기업,아시아투데이 조은국 기자  BNK경남은행은 금융감독원 경남지원과 공동으로 경慶이二로운 체험형 금융진로교육을 실시했다.,2
2023,공기업,아시아투데이 정금민 기자  서민금융진흥원은 8일 경남신용보증재단과 금융취약계층의 안정적인 금융 생활을 지원하기 위해 업무협약을 체결했다.,1
2023,공기업,아시아투데이 이선영 기자  KB국민은행은 시니어 고객에게 다.,5
2023,공기업,아시아투데이 유제니 기자  서민금융진흥원이하 서금원과 신용회복위원회이하 신복위가 강원 지역에서 서민 금융 현장을 점검하고 취약계층 지원활동을 진행했다.,3
2023,공기업,국내 불법사금융시장 규모는 약 20조원에 달합니다.,0
2023,공기업,광주시는 경영 위기에 처한 소상공인과 자영업자의 자금난 해소를 위해 올 하반기 400억원의 경영자금을 융자지원한다.,1
2023,공기업,부산아시아투데이 조영돌 기자  한국자산관리공사캠코는 4일 부산 사회복지공동모금회에 금융취약계층의 안전한 여름나기와 생계 지원을 위한 기부금 3000만원을 전달했다.,4
2023,공기업,부산아시아투데이 조영돌 기자 한국자산관리공사캠코는 한국장학재단과 함께 금융취약계층의 원활한 학업을 지원하는 푸른등대 기부장학금 사업을 실시한다.,4
2023,공기업,"급전이 필요한 금융취약계층에 최대 100만원을 빌려주는 소액생계비 대출 이자 미납률이 88로 집계됐다

1일 서민금융진흥원에 따르면 소액생계비대출 출시 두 달간3월 27일5월 26일 4만3549건의 대출 신청이 이뤄졌다.",1
2023,공기업,아시아투데이 김아련 기자  이복현 금융감독원장이 광주은행 본점을 방문해 서민 대상 금융지원 노력을 격려하고 광주형 프랜차이즈 육성을 강조했다.,1
2023,공기업,BNK경남은행은 경남도소상공인연합회와 함께 통영고등학교에서 스마트 경제교육을 했다.,2
2023,공기업,"소액생계비대출 출시 한 달 만에 2만3532명이 총 143억원 넘게 신청

급한 돈이 필요한 취약계층에게 최대 100만원을 빌려주는 소액생계비대출 신청 금액이 출시 한 달 만에 143억원을 넘어섰다.",1
2023,공기업,"급전이 필요한 취약계층에 최대 100만원을 빌려주는 소액생계비 대출 신청 금액이 출시 한 달 만에 143억원을 넘어섰다

1일 금융위원회와 서민금융진흥원에 따르면 지난 3월27일 출시된 소액생계비대출 대출금액은 4월26일까지 총 143억3000만원으로 집계됐다

대출 신청자는 2만3532명으로 1인당 평균 대출금액은 61만원이었다.",1
2023,공기업,아시아투데이 김동민 기자  신용보증기금은 6월 30일까지 채무자 재기지원 강화 특별 캠페인을 실시한다.,1
2023,공기업,"서민금융진흥원 취약층 정책금융 1인당 평균 64만원 수준

A씨는 일수대출금을 갚고 보증금과 월세를 내기 위해 소액생계비대출을 신청했다.",1
2023,공기업,집 보증금이 급히 필요했던 A씨는 일수로 100만원을 빌렸다.,1
2023,공기업,A씨는 일수대출금을 갚고 보증금과 월세를 내기 위해 소액생계비대출을 신청했다.,1
2023,공기업,아시아투데이 김아련 기자  가파른 은행 영업점 통폐합과 모바일뱅킹 확대로 고령층 고객들의 디지털 디바이드 현상이 심화되자 우리은행이 시니어 고객을 위한 특화점포를 잇달아 열며 상생금융에 나서고 있다.,5
2023,공기업,부산아시아투데이 조영돌 기자  한국자산관리공사캠코는 21일 마리아 모성원부산시 서구에서 부산사회복지공동모금회에 미혼모 미혼부 가정 지원을 위한 기부금 2000만원을 전달했다.,2
2023,공기업,부산아시아투데이 조영돌 기자 한국자산관리공사는 3일 한국장학재단에 금융취약계층 학업 지원을 위한 장학금 1억원을 기탁했다.,4
2023,공기업,아시아투데이 최정아 기자  서민 자금 부담 완화를 위해 마련된 새희망홀씨 햇살론15 사잇돌대출 등 정책 서민금융상품의 연체율이 대출금리에 따라 큰 편차를 보이는 것으로 나타났다.,1
2023,공기업,아시아투데이 조은국 기자  KB국민은행은 고금리와 경기둔화 등으로 어려움을 겪고 있는 취약차주의 가계 안정화와 기업의 사회적 책임 이행을 위해 5000억원 규모의 KB국민희망대출을 출시한다.,1
2023,공기업,NH농협은행이 금융취약계층을 지원하기 위한 12조6000억원 규모의 지원방안을 18일 밝혔다.,1
2023,공기업,"고금리로 신음하는 대출자와 지역 소상공인 자영업자들을 위해 NH농협은행이 12조6000억 원 규모의 금융취약계층 지원에 나서기로 했다



이석용 농협은행장은 18일 이 같은 지원 규모를 밝히면서 도시와 농촌을 연결하는 매개체로서 농협은행이 지역 금융의 역할을 다.",1
2023,공기업,NH농협은행 금융취약계층을 위해 12조 원 이상의 금융 지원을 실시한다.,1
2023,공기업,서민금융진흥원원장 이재연 서금원은 서민 취약계층의 금융교육을 위해 전문강사 40명을 신규 선발하고 실무 중심 역량강화를 위한 워크숍을 실시했다.,2
2022,공기업,은행권의 전세자금 대출 금리 인하 흐름에 KB국민은행이 가세했다.,1
2022,공기업,은행권의 전세자금 대출 금리 인하 흐름에 KB국민은행이 가세했다.,1
2022,공기업,국민의힘과 정부가 6일 OO페이로 불리는 온라인 간편결제 수수료를 공시해 중소상공인들의 수수료 부담을 낮추도록 하겠다.,1
2022,공기업,"BNK경남은행이 금융교육 우수프로그램을 개발 운영한 기관으로 선정됐다
BNK경남은행은 금융감독원이 주최한 제17회 금융공모전에서 금융교육 활성화에 기여한 공로를 인정받아 금융감독원장상을 수상했다.",2
2022,공기업,아시아투데이 조은국 기자  BNK경남은행은 토스 카카오페이 서민금융진흥원이 제공하는 대출비교하기에 BNK모바일새희망홀씨대출을 론칭했다.,1
2022,공기업,서민금융진흥원과 현대캐피탈은 9일 중 저신용자 금융역량 강화를 위한 업무 협약을 체결했다.,2
2022,공기업,아시아투데이 장수영 기자  현대캐피탈이 서민금융진흥원과 손잡고 금융취약계층 지원 강화에 나선다.,2
2022,공기업,국민의힘과 정부가 잇따른 금리 인상으로 이자 부담이 커진 금융취약계층을 보호하고자 불법 사금융이 아닌 제도권 금융회사에서 소액의 긴급 생계비를 빌릴 수 있는 지원 대책을 추진하기로 했다.,1
2022,공기업,한계상황에 몰린 서민들을 위한 금융정책 중 하나인 미소금융의 실적이 저조한 것으로 나타났다.,1
2022,공기업,밀양아시아투데이 오성환 기자  경남 밀양시는 5일 소회의실에서 한국자산관리공사 경남지역본부이하 캠코 경남본부와국유재산 활용을 통한 지역 발전 등 협력을 위한 업무협약을 체결했다.,0
2022,공기업,아시아투데이 윤수현 기자  IBK기업은행이 아이스크림에듀와 중소기업 근로자 자영업자 자녀의 교육지원을 위한 전략적 업무협약을 체결했다.,2
2022,공기업,아시아투데이 조은국 기자  KB국민은행은 금융소비자 보호를 위해 내 외부 전문가 6인으로 구성된 제 3기 소비자 권익강화 자문위원회를 출범했다.,0
2022,공기업,아시아투데이 조은국 기자  신한은행은 금융교육 운영 10주년을 맞이해 기념행사를 개최했다.,2
2022,공기업,아시아투데이 이재아 기자  IBK기업은행은 지난달 28일 경기도 양주시 덕정동에 위치한 회천노인복지관에서 IBK 금융 하모니CAR 프로그램의 일환으로 양주시 노인들을 위해 금융소비자피해 예방교육을 진행했다.,2
2022,공기업,지역 신용보증재단이 보증업무 중단 위기에 처하자 전국 지자체들이 해결방안을 찾고 있다.,1
2022,공기업,"광주은행이 하반기에 지역 중서민과 소상공인 등 금융취약계층에 대한 금리인하 방안을 선제적으로 제시했다
광주은행은 18일 본점에서 2022년 하반기 경영전략회의를 열고 한국은행이 빅스텝기준금리 05포인트 인상을 단행하면서 금융 취약층의 빚 상환 부담이 증가하고 있다.",1
2022,공기업,아시아투데이 이지훈 기자세종  정부가 소상공인과 취약계층 등을 대상으로 최대 68조원 규모의 정책금융을 지원한다.,4
2022,공기업,"정부가 이달 말부터 소상공인과 금융취약계층 등에 대해 최대 68조원 규모의 정책 금융을 순차적으로 제공한다
정부는 15일 서울 한국주택금융공사 서울중부지사에서 최상대 기획재정부 2차관 주재로 제2차 재정집행관계차관회의를 열고 이같이 밝혔다
정부는 이날 회의에서 올해 2차 추경을 통해 마련한 소상공인과 청년 최저신용자 등에 대한 총 2조원 규모의 취다.",0
2022,공기업,아시아투데이 김형일 기자  서민금융진흥원과 신용회복위원회가 지난 14일부터 이틀간 금융취약계층 대상 서민금융 지원강화를 위해 대구 포항 지역 현장방문을 실시했다.,3
2022,공기업,BNK부산은행이 급변하는 디지털 금융 환경에 발맞추어 금융 소외계층을 위한 다.,5
2022,공기업,아시아투데이 조은국 기자  신한은행은 한국자산관리공사캠코와 상호 전문성을 활용한 신사업 모델 발굴과 상생협력을 위한 업무협약을 체결했다.,0
2022,공기업,중소기업과 자영업자들의 부실 위험이 증가하고 있는 가운데 부실채권정리 전문기관이면서 최근 기업 구조조정 업무를 확대하고 있는 캠코한국자산관리공사의 역할이 앞으로 커질 전망이다.,0
2022,공기업,아시아투데이 조은국 기자  신용보증기금은 6월 30일까지 3개월간 채무자 재기지원 강화 특별 캠페인을 실시한다.,1
2022,공기업,아시아투데이 김윤주 기자  서민금융진흥원은 청소년이 금융을 쉽고 재미있게 배울 수 있는 진로 금융교육게임 꿈이머니 모바일앱 체험 이벤트를 실시한다.,2
2022,공기업,아시아투데이 이주형 기자  BNK경남은행은 리테일금융부에서 근무 중인 노정영 과장이 금융감독원장상을 수상했다.,0
2022,공기업,아시아투데이 김윤주 기자  BNK부산은행은 20일부터 21일까지 부산지역 노년층 900명을 대상으로 도전 시니어 온라인 금융골든벨을 실시한다.,2
2022,공기업,고승범 금융위원장과 정은보 금융감독원장이 새해 첫 회동을 갖고 긴밀한 공조체계를 강화하기로 했다.,5
2021,공기업,대부업체 이용자가 6개월 만에 약 16만 명이나 줄었다.,1
2021,공기업,부산아시아투데이 조영돌 기자 한국자산관리공사가 9일 NICE평가정보와 금융취약계층의 정상 금융생활 복귀 지원 업무협약을 체결했다.,3
2021,공기업,아시아투데이 장예림 기자  서민금융진흥원은 2021년 대한민국 경제교육대상 시상식에서 부총리 겸 기획재정부 장관상을 수상했다.,2
2021,공기업,캠코한국자산관리공사는 9일 나이스평가정보와 금융취약계층의 정상 금융생활 복귀 지원 업무협약을 체결했다.,3
2021,공기업,금융위원회가 내년 예산이 올해 예산보다.,1
2021,공기업,아시아투데이 이주형 기자  기업은행이 수익성이 낮은 도심형 영업점을 통폐합하고 중소기업 밀집 지역에 새로운 영업점을 개설하고 있다.,5
2021,공기업,부산아시아투데이 조영돌 기자  한국자산관리공사는 플랫폼 운송업 종사자들에 대한 교통상해보험 무료가입지원을 위해 서울지방우정청 등과 영상으로 업무협약을 체결했다.,0
2021,공기업,"1962년 국내 최초의 부실채권관리 전문 금융기관으로 출범한 캠코한국자산관리공사 사장 문성유는 그간 경제성장 과정에서 낙오될 수 있는 금융취약계층 중소기업 등 경제취약 부문의 경제활동 복귀를 돕는 상시 재기지원 기관으로서 공적역할을 충실히 수행해온 금융공기업이다
그 동안 축적해 온 경험과 전문성을 기반으로 캠코는 코로나19 팬데믹으로 촉발된 다.",0
2021,공기업,아시아투데이 김윤주 기자  예금보험공사는 서울 중구 청계천로 사옥 1층에 착오송금 반환지원 상담센터를 설치했다.,0
2021,공기업,예금보험공사 착오송금 반환지원제도를 이용하는 금융소비자들의 편의를 높이기 위해 착오송금 반환지원 상담센터 설치한다.,0
2021,공기업,아시아투데이 이주형 기자  신용보증기금은 사업 실패 후 과도한 채무로 장기간 고통받고 있는 채무자의 재기를 지원하기 위해 채무자 재기지원 강화 특별 캠페인을 실시한다.,1
2021,공기업,"서울 서초구 대법원 연합뉴스 
 개인이 한국자산관리공사에서 매입한 토지에 폐기물이 묻혀 있었다.",0
2021,공기업,대구의 주요 기관들이 합심해 금융문맹 퇴치에 나서기로 했다.,0
2021,공기업,대구의 주요 기관들이 합심해 금융문맹 퇴치에 나서기로 했다.,0
2021,공기업,아시아투데이 이주형 기자  광주은행은 금융감독원으로부터 포용금융 경영컨설팅 지원 부문 우수상을 받았다.,0
2021,공기업,4일 오후 2시 서울 영등포역 뒤편 쪽방촌 서민금융진흥원서금원과 신용회복위원회신복위 직원들이 도시락을 싣고 찾아왔다.,3
2020,공기업,아시아투데이 정단비 기자  우리은행이 마이데이터 알림이로 나섰습니다.,2
2020,공기업,금융위원회 내년 세출 예산이 국회 본회의에서 3조9000억원으로 확정됐다.,0
2020,공기업,아시아투데이 문누리 기자  NH농협은행 소비자보호부는 서울 중구에 위치한 중림종합사회복지관과 함께 지난 18일 금융취약계층인 고령자 장애인을 대상으로 금융사기 피해예방을 위한 홍보 활동을 실시했다.,2
2020,공기업,아시아투데이 황예림 기자  이명호 한국예탁결제원예탁원 사장이 옵티머스 사태 등 여러 사모펀드 사고 재발을 막기 위해 청소년 취약계층 등 일반 국민을 대상으로 한 교육 프로그램을 강화해나가겠다.,2
2020,공기업,아시아투데이 임초롱 기자  OK저축은행은 지난 21일 서울시립 성북노인종합복지관에서 고령층을 위한 금융소비자 교육을 시행했다.,2
2020,공기업,아시아투데이 문누리 기자  NH농협은행은 5일부터 다.,2
2020,공기업,서울시복지재단 산하 서울금융복지상담센터가 한국자산관리공사캠코와 17일 업무협약식을 맺고 코로나19로 어려움에 처한 시민들의 개인회생 지원사업을 시작한다.,0
2020,공기업,아시아투데이 정단비 기자  신용보증기금은 사업 실패 후 과도한 채무로 고통받고 있는 채무자의 재기지원을 위해 채무자 재기지원 강화 특별 캠페인을 오는 11월 30일까지 실시한다.,1
2020,공기업,아시아투데이 이지선 기자  BNK부산은행은 지난 3일 아동양육시설 청소년들을 위한 금융교육 프로그램인 슬기로운 경제생활을 실시했다.,2
2020,공기업,서민금융진흥원이 신종 코로나바이러스감염즘코로나19 관련 각종 금융 지원 정책을 한 번에 검색할 수 있는 서민금융 한눈에를 내놨다.,1
2020,공기업,아시아투데이 조은국 기자  KB국민은행은 13일 한국주택금융공사와 손잡고 신혼부부와 다.,1
2020,공기업,아시아투데이 임초롱 기자  메리츠화재는 27일 1사1교 금융교육 우수 금융회사로 선정돼 보험업계 최초로 2년 연속 금융감독원장상을 수상했다.,2
2020,공기업,인천광역시시장 박남춘와 인천신용보증재단이사장 조현석은 2020년 소상공인 맞춤형 정책자금을 지속적으로 확대하고 금융취약계층에 대한 금융복지 실현을 위한 다.,1
2020,공기업,중소기업과 소상공인의 채무를 보증하고 있는 인천신용보증재단이 올해 6100억원의 보증지원을 확정했다.,1
2019,공기업,지난 2000년 경기도 용인시에서 미용실을 시작한 A씨는 2001년 운영자금이 부족해 경기신용보증재단이하 경기신보을 통해 자금을 지원 받았다.,1
2019,공기업,아시아투데이 정단비 기자  KB국민은행은 11일 서울 중구 소재 서울중앙우체국에서 신용회복위원회이하 신복위 및 우정사업본부 서울중앙우체국이하 우체국과 신용회복중인 취약계층의 안정적인 생활을 지원하기 위해 공익보험 무료가입 지원 업무협약을 체결했다.,3
2019,공기업,아시아투데이 임초롱 기자  한국자산관리공사캠코는 10월 18일까지 금융취약계층의 주거환경 개선을 위해 노후주택 개보수를 지원하는 채무조정 캠페인을 실시한다.,3
2019,공기업,아시아투데이 임초롱 기자  한국자산관리공사캠코는 30일 수협중앙회와 회원조합의 재무건전성 제고 및 유동성 지원을 위한 업무협약을 체결했다.,2
2019,공기업,아시아투데이 오세은 기자  기술보증기금은 2018년 보증기관 최초로 원금감면 제도를 도입한 후 1년간 245건 216억원의 채무원금을 감면해 채무자의 신용회복을 적극 지원한 것으로 나타났다.,1
2019,공기업,한국자산관리공사캠코는 캠코형 사회적 가치 창출을 목표로 지속가능한 일자리 창출과 취약계층 신용회복에 노력을 기울이고 있다.,3
2019,공기업,"BNK금융그룹 부산은행

2019 포용적 금융 프로그램 금융취약계층 지원
지역 중소기업ㆍ자영업자 위한 프로그램도 운영
고객에 실질적 도움 사회적ㆍ포용적 역할 실천

지난달 초 부산지역 한 인테리어 업체 대표가 부산은행 대출 창구를 찾았다.",1
2019,공기업,"캠코한국자산관리공사

청년층 일자리 창출 확대 및 취약가계ㆍ기업 재기 지원
캠코한국자산관리공사 사장 문창용는 1962년 우리나라 최초의 부실채권정리전문기관으로 출범해 외환위기 등 국가경제가 위기에 빠질 때마다.",4
2019,공기업,예금보험공사 자회사가 연체금리를 낮췄더니 개인채권 상환액이 21 증가한 것으로 나타났다.,1
2019,공기업,"정 이사장 창립 30주년 신년사



기술보증기금은 올해 20조2000억 원의 보증을 공급할 계획이다.",1
2018,공기업,한국주택금융공사 관계자들이 최근 서울 종로구 일민미술관 앞에서 취약계층 금융지원 확대를 위한 거리 이벤트를 진행하고 있는 모습 이번 행사는 출근길 직장인들에게 따뜻한 커피 한잔과 금융취약계층을 위한 다.,0
2018,공기업,"장기소액연체자 등 취약계층 지원
고령ㆍ장애인ㆍ생계형 종사자 대상
신용서포터즈와 지역밀착형 서비스
캠코한국자산관리공사 사장 문창용는 12일부터 신용회복지원 상담과 신청에 어려움을 겪는 장기소액연체자 등 금융취약계층 지원을 위해 방문상담 서비스를 제공하는 찾아가는 상담도우미 제도를 시행한다.",3
2018,공기업,KEB하나은행은 서민금융 지원 장애인 국가대표 후원 등 다.,4
2018,공기업,"
 KEB하나은행 
 KEB하나은행은 서민금융 지원 장애인 국가대표 후원 등 사회적 취약계층을 위한 다.",0
2018,공기업,"
 한국자산관리공사 
 캠코한국자산관리공사가 주요 핵심사업을 통한 사회 취약부문의 사회적 가치 창출을 위해 앞장서고 있다.",4
2018,공기업,"경영난 겪는 中企 지원단 신설
서민 금융지원 최우수기관 선정
새희망홀씨 대출 5000억 돌파

어린이 교통사고 예방사업
문화공연 등 사회공헌도 활발

지역은행으로서 고객과 지역사회가 진정 필요로 하는 사회공헌사업을 찾아 기업의 사회적 책임을 다.",1
2018,공기업,저신용자 재기지원 사업은 교육참여수당 지원 대상자 접수 지원과 저신용자 재기지원 사업운영신한금융그룹 저신용자 맞춤형 취업서비스 제공 및 고용노동부 취업성공패키지 사업 연계서민금융진흥원 저신용자 채무조정 지원 및 고용노동부 취업성공패키지 참여 지원신용회복위원회 등으로 구성돼 있다.,2
2018,공기업,한국자산관리공사캠코는 가계 기업 공공 등 핵심 사업별 사회적가치 창출을 위한 공공서비스를 확대할 방침이다.,3
2018,공기업,이대훈 NH농협은행장과 임직원 70여 명이 10일 서울 중구 충정로 농협은행 본점에서 금융취약계층의 금융이용 애로사항을 경험해 보는 장애 인식개선 교육을 실시하고 있다.,2
2018,공기업,이대훈 NH농협은행장과 임직원 70여 명이 10일 서울 중구 충정로 농협은행 본점에서 금융취약계층의 금융이용 애로사항을 경험해 보는 장애 인식개선 교육을 실시하고 있다.,2
2018,공기업,이대훈 NH농협은행장과 임직원 70여 명이 10일 서울 중구 충정로 농협은행 본점에서 금융취약계층의 금융이용 애로사항을 경험해 보는 장애 인식개선 교육을 실시하고 있다.,2
2018,공기업,"오늘 주총서 김정태 연임 결정


김정태 하나금융그룹 회장의 3연임을 결정짓는 주주총회를 하루 앞둔 22일 그룹 최대 계열사인 KEB하나은행이 2020년까지 3년간 중소ㆍ벤처기업 등을 뒷받침하는 이른바 생산적 금융에 15조원을 지원한다.",0
2018,공기업,서울시가 103년 동안 우리은행이 독점해왔던 시금고를 내년부터 복수로 운영한다.,0
2018,공기업,경남신용보증재단이 지역 중소 상공인에 대한 지원을 강화한다.,1
2018,공기업,IBK기업은행은 2018년 동반자금융을 통해 중소기업금융 시장을 선도해 나갈 계획이다.,1
2017,공기업,인천시가 호국 보훈대상자를 지원하기 위해 팔을 걷어부치고 나섰다.,1
2017,공기업,인천광역시시장 유정복는 24일 접견실에서 한국주택금융공사 신한은행과 함께 인천광역시 호국 보훈대상자 전 월세보증금 융자지원사업 업무협약 및 인천광역시민의 주거복지 증진을 위한 업무협약을 동시 체결했다.,1
2017,공기업,금융감독원이 대한노인회 서울시와 손잡고 금융취약계층인 노년층을 위한 어르신을 위한 금융꿀팁 알리기에 나섰다.,2
2017,공기업,"서민상품 5년서 15년으로
월 11만원 상환부담 경감

IBK기업은행은 대표적인 서민금융 상품인 IBK새희망홀씨 대출기간을 기존 최장 5년에서 15년으로 확대했다.",1
2017,공기업,왼쪽부터 김윤영 서민금융진흥원장 안희정 충남도지사 서민금융진흥원 제공서민금융진흥원은 27일 충청남도와 서민 취약계층 금융지원 강화를 위한 업무협약을 체결했다.,0
2017,공기업,자금 위기에 놓인 해운업과 중소기업에 올해 1조3000억 원을 지원하겠다.,1
2017,공기업,문창용사진 한국자산관리공사캠코 사장이 취약계층은 과감한 채무조정을 통해 재기를 지원할 필요가 있다.,3
2017,공기업,1962년 국내 최초 부실채권정리기관으로 첫발을 내딛은 한국자산관리공사캠코는 국가경제 위기시마다.,0
2017,공기업,서민금융진흥원이 저소득층 다.,2
2017,공기업,한국자산관리공사캠코는 국가 경제가 위기에 처해 있을 때마다.,2
2017,공기업,금융감독원이 금융이해력이 상대적으로 취약한 노령층 등 금융취약계층을 대상으로 금융교육을 강화하기 위해 행정자치부와 지역금융교육 활성화에 나선다.,2
2016,공기업, 기업과 금융 가계의 금융 안전망으로서 역할을 해 온 캠코한국자산관리공사는 그간 쌓아 온 신용회복지원 노하우와 보유채무자 DB 및 공공정보를 활용한 빅데이터 분석을 통해 채무자 맞춤형 채무조정 프로그램 매칭부터 취업지원에 이르기까지 종합신용회복을 위한 원스톱 시스템을 구축해 운영하고 있다.,2
2015,공기업,지난해 12월 서민금융진흥원 설립법안이 국회에 제출되었다.,0
2015,공기업,통신요금이나 공공요금을 밀리지 않고 제때 내면 신용등급이 올라간다.,0
2015,공기업,금융감독원이 전국의 중 고등학교 학생 200명을 대상으로 청소년 금융교실을 열었다.,2
2015,공기업,새희망홀씨 대출이 아니었다.,1
2015,공기업,새희망홀씨 대출이 아니었다.,1
2015,공기업,창원아시아투데이 김옥빈 기자  BNK금융그룹 경남은행은 금융취약계층 지원을 위해 찾아가는 금융교육사진을 29일 진해 장애인 종합복지관에서 실시했다.,2
2015,공기업,IBK기업은행은 대포통장을 이용한 금융사기 피해를 예방하기 위해 대포통장 근절 종합대책을 시행한다.,2
